"Carimbo de data/hora","Faculdade","Esporte","Transporte"
"2026/05/20 8:48:46 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 9:00:54 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 9:11:23 PM GMT-3","UFPE","Futebol","Carro"
"2026/05/20 9:26:22 PM GMT-3","UFPE","Nenhum","Transporte público"
"2026/05/20 9:57:10 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/20 10:30:29 PM GMT-3","UFPE","Futebol","A Pé"
"2026/05/20 10:50:36 PM GMT-3","UFPE","Futebol","Táxi / Transporte de aplicativo"
"2026/05/20 10:59:20 PM GMT-3","CESAR School","Artes Marciais","Transporte público"
"2026/05/21 12:02:12 AM GMT-3","UFPE","Nenhum","Transporte público"
"2026/05/21 6:03:24 AM GMT-3","UNICAP","Crossfit","Carro"
"2026/05/21 9:10:31 AM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/21 9:19:09 AM GMT-3","FATEC","Futebol","Transporte público"
"2026/05/21 9:33:32 AM GMT-3","UFPE","Nenhum","A Pé"
"2026/05/21 10:08:09 AM GMT-3","UFPB","Vôlei","Carro"
"2026/05/21 11:07:42 AM GMT-3","UNIESP","Futebol","Transporte público"
"2026/05/21 11:13:21 AM GMT-3","UFPE","Vôlei","Transporte público"
"2026/05/21 11:15:09 AM GMT-3","UFPE","Xadrez","Transporte público"
"2026/05/21 11:27:22 AM GMT-3","CESAR School","Futebol","Táxi / Transporte de aplicativo"
"2026/05/21 12:19:48 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/21 12:54:27 PM GMT-3","CESAR School","Natação","Carro"
"2026/05/21 1:43:17 PM GMT-3","UPE","Futebol","Carro"
"2026/05/21 3:08:31 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/21 5:51:09 PM GMT-3","CESAR School","Nenhum","Carro"
"2026/05/21 6:54:16 PM GMT-3","UFPE","Nenhum ","Transporte público"
"2026/05/21 7:03:50 PM GMT-3","UFPE","E-Sports","Transporte público"
"2026/05/21 7:12:15 PM GMT-3","CESAR School","Artes Marciais","Carro"
"2026/05/21 10:42:49 PM GMT-3","UFPE","Futebol","Transporte público"
"2026/05/21 10:59:19 PM GMT-3","UFPE","Fisiculturismo","Transporte público"
"2026/05/22 2:03:49 PM GMT-3","UPE","Futebol","Carro"
